Ref_Date,GEO,INT,Vector,Coordinate,Value
1961/09,Canada,In-migrants,v509037,1.1,95570
1961/12,Canada,In-migrants,v509037,1.1,86590
1962/03,Canada,In-migrants,v509037,1.1,60693
1962/06,Canada,In-migrants,v509037,1.1,59098
1962/09,Canada,In-migrants,v509037,1.1,99614
1962/12,Canada,In-migrants,v509037,1.1,98271
1963/03,Canada,In-migrants,v509037,1.1,59716
1963/06,Canada,In-migrants,v509037,1.1,65918
1963/09,Canada,In-migrants,v509037,1.1,106090
1963/12,Canada,In-migrants,v509037,1.1,95012
1964/03,Canada,In-migrants,v509037,1.1,63652
1964/06,Canada,In-migrants,v509037,1.1,63155
1964/09,Canada,In-migrants,v509037,1.1,111505
1964/12,Canada,In-migrants,v509037,1.1,99486
1965/03,Canada,In-migrants,v509037,1.1,73576
1965/06,Canada,In-migrants,v509037,1.1,67225
1965/09,Canada,In-migrants,v509037,1.1,119748
1965/12,Canada,In-migrants,v509037,1.1,119031
1966/03,Canada,In-migrants,v509037,1.1,75404
1966/06,Canada,In-migrants,v509037,1.1,72355
1966/09,Canada,In-migrants,v509037,1.1,134900
1966/12,Canada,In-migrants,v509037,1.1,125910
1967/03,Canada,In-migrants,v509037,1.1,72315
1967/06,Canada,In-migrants,v509037,1.1,72313
1967/09,Canada,In-migrants,v509037,1.1,122815
1967/12,Canada,In-migrants,v509037,1.1,117604
1968/03,Canada,In-migrants,v509037,1.1,70473
1968/06,Canada,In-migrants,v509037,1.1,71092
1968/09,Canada,In-migrants,v509037,1.1,93378
1968/12,Canada,In-migrants,v509037,1.1,126460
1969/03,Canada,In-migrants,v509037,1.1,73010
1969/06,Canada,In-migrants,v509037,1.1,71408
1969/09,Canada,In-migrants,v509037,1.1,117787
1969/12,Canada,In-migrants,v509037,1.1,129449
1970/03,Canada,In-migrants,v509037,1.1,90827
1970/06,Canada,In-migrants,v509037,1.1,75508
1970/09,Canada,In-migrants,v509037,1.1,101610
1970/12,Canada,In-migrants,v509037,1.1,144614
1971/03,Canada,In-migrants,v509037,1.1,85045
1971/06,Canada,In-migrants,v509037,1.1,71661
1971/09,Canada,In-migrants,v509037,1.1,129047
1971/12,Canada,In-migrants,v509037,1.1,119546
1972/03,Canada,In-migrants,v509037,1.1,75510
1972/06,Canada,In-migrants,v509037,1.1,71329
1972/09,Canada,In-migrants,v509037,1.1,118236
1972/12,Canada,In-migrants,v509037,1.1,110109
1973/03,Canada,In-migrants,v509037,1.1,87092
1973/06,Canada,In-migrants,v509037,1.1,80701
1973/09,Canada,In-migrants,v509037,1.1,131102
1973/12,Canada,In-migrants,v509037,1.1,135097
1974/03,Canada,In-migrants,v509037,1.1,87587
1974/06,Canada,In-migrants,v509037,1.1,83763
1974/09,Canada,In-migrants,v509037,1.1,130185
1974/12,Canada,In-migrants,v509037,1.1,119801
1975/03,Canada,In-migrants,v509037,1.1,90332
1975/06,Canada,In-migrants,v509037,1.1,71391
1975/09,Canada,In-migrants,v509037,1.1,116408
1975/12,Canada,In-migrants,v509037,1.1,107199
1976/03,Canada,In-migrants,v509037,1.1,77438
1976/06,Canada,In-migrants,v509037,1.1,74306
1976/09,Canada,In-migrants,v509037,1.1,139499
1976/12,Canada,In-migrants,v509037,1.1,75039
1977/03,Canada,In-migrants,v509037,1.1,63347
1977/06,Canada,In-migrants,v509037,1.1,79504
1977/09,Canada,In-migrants,v509037,1.1,142032
1977/12,Canada,In-migrants,v509037,1.1,76881
1978/03,Canada,In-migrants,v509037,1.1,64467
1978/06,Canada,In-migrants,v509037,1.1,81041
1978/09,Canada,In-migrants,v509037,1.1,139861
1978/12,Canada,In-migrants,v509037,1.1,75540
1979/03,Canada,In-migrants,v509037,1.1,63505
1979/06,Canada,In-migrants,v509037,1.1,79899
1979/09,Canada,In-migrants,v509037,1.1,144951
1979/12,Canada,In-migrants,v509037,1.1,78273
1980/03,Canada,In-migrants,v509037,1.1,65511
1980/06,Canada,In-migrants,v509037,1.1,82653
1980/09,Canada,In-migrants,v509037,1.1,149590
1980/12,Canada,In-migrants,v509037,1.1,80720
1981/03,Canada,In-migrants,v509037,1.1,67484
1981/06,Canada,In-migrants,v509037,1.1,85138
1981/09,Canada,In-migrants,v509037,1.1,136624
1981/12,Canada,In-migrants,v509037,1.1,78108
1982/03,Canada,In-migrants,v509037,1.1,64984
1982/06,Canada,In-migrants,v509037,1.1,78203
1982/09,Canada,In-migrants,v509037,1.1,117162
1982/12,Canada,In-migrants,v509037,1.1,62799
1983/03,Canada,In-migrants,v509037,1.1,53873
1983/06,Canada,In-migrants,v509037,1.1,71652
1983/09,Canada,In-migrants,v509037,1.1,107663
1983/12,Canada,In-migrants,v509037,1.1,58127
1984/03,Canada,In-migrants,v509037,1.1,50392
1984/06,Canada,In-migrants,v509037,1.1,63190
1984/09,Canada,In-migrants,v509037,1.1,103696
1984/12,Canada,In-migrants,v509037,1.1,58431
1985/03,Canada,In-migrants,v509037,1.1,46362
1985/06,Canada,In-migrants,v509037,1.1,62076
1985/09,Canada,In-migrants,v509037,1.1,108272
1985/12,Canada,In-migrants,v509037,1.1,62251
1986/03,Canada,In-migrants,v509037,1.1,49391
1986/06,Canada,In-migrants,v509037,1.1,67346
1986/09,Canada,In-migrants,v509037,1.1,117961
1986/12,Canada,In-migrants,v509037,1.1,64988
1987/03,Canada,In-migrants,v509037,1.1,50703
1987/06,Canada,In-migrants,v509037,1.1,68950
1987/09,Canada,In-migrants,v509037,1.1,126383
1987/12,Canada,In-migrants,v509037,1.1,71914
1988/03,Canada,In-migrants,v509037,1.1,53057
1988/06,Canada,In-migrants,v509037,1.1,71021
1988/09,Canada,In-migrants,v509037,1.1,127126
1988/12,Canada,In-migrants,v509037,1.1,72468
1989/03,Canada,In-migrants,v509037,1.1,54628
1989/06,Canada,In-migrants,v509037,1.1,73478
1989/09,Canada,In-migrants,v509037,1.1,136285
1989/12,Canada,In-migrants,v509037,1.1,77570
1990/03,Canada,In-migrants,v509037,1.1,58827
1990/06,Canada,In-migrants,v509037,1.1,84125
1990/09,Canada,In-migrants,v509037,1.1,128854
1990/12,Canada,In-migrants,v509037,1.1,61124
1991/03,Canada,In-migrants,v509037,1.1,48515
1991/06,Canada,In-migrants,v509037,1.1,78074
1991/09,Canada,In-migrants,v509037,1.1,125577
1991/12,Canada,In-migrants,v509037,1.1,61363
1992/03,Canada,In-migrants,v509037,1.1,51278
1992/06,Canada,In-migrants,v509037,1.1,78441
1992/09,Canada,In-migrants,v509037,1.1,120906
1992/12,Canada,In-migrants,v509037,1.1,59055
1993/03,Canada,In-migrants,v509037,1.1,49409
1993/06,Canada,In-migrants,v509037,1.1,73924
1993/09,Canada,In-migrants,v509037,1.1,106210
1993/12,Canada,In-migrants,v509037,1.1,54194
1994/03,Canada,In-migrants,v509037,1.1,51272
1994/06,Canada,In-migrants,v509037,1.1,77715
1994/09,Canada,In-migrants,v509037,1.1,100326
1994/12,Canada,In-migrants,v509037,1.1,57547
1995/03,Canada,In-migrants,v509037,1.1,53613
1995/06,Canada,In-migrants,v509037,1.1,73978
1995/09,Canada,In-migrants,v509037,1.1,98624
1995/12,Canada,In-migrants,v509037,1.1,60528
1996/03,Canada,In-migrants,v509037,1.1,56081
1996/06,Canada,In-migrants,v509037,1.1,76531
1996/09,Canada,In-migrants,v509037,1.1,97351
1996/12,Canada,In-migrants,v509037,1.1,54526
1997/03,Canada,In-migrants,v509037,1.1,59997
1997/06,Canada,In-migrants,v509037,1.1,80999
