"X___1","PUMFID","PERSONID","AGEGP","SEX","MARST","PROV","IMMSTP","YRIMMGP","CMPHI","HLEV2G","CFID","CFSIZE","CFMJSI","CFATINC","CFEARNG","EFID","EFSIZE","EFATINC","HHSIZE","FWEIGHT","Province","region","sexe","statut_mat","niveau_educ"
30,2140,214003,2,1,96,24,6,6,6,6,"2140A01",4,2,74080,78500,"2140A",4,74080,4,234.1056,"Qu<U+00E9>bec","Qu<U+00E9>bec","Homme","Non applicable","Non applicable"
57,2151,215103,13,1,1,12,6,6,1,3,"2151A01",3,2,145815,191500,"2151A",3,145815,3,245.4825,"Nouvelle-<U+00C9>cosse","Atlantique","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
68,2155,215504,3,1,96,35,6,6,6,6,"2155A01",4,2,121000,143675,"2155A",4,121000,4,368.0356,"Ontario","Ontario","Homme","Non applicable","Non applicable"
73,2157,215703,4,2,6,35,6,6,2,1,"2157A01",3,2,92225,101500,"2157A",3,92225,3,435.5164,"Ontario","Ontario","Femme","Jamais mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
143,2187,218702,12,1,1,12,6,6,1,4,"2187A01",3,2,167365,213500,"2187A",3,167365,3,539.2204,"Nouvelle-<U+00C9>cosse","Atlantique","Homme","Mari<U+00E9>","Dipl<U+00F4>me ou certificat universitaire"
153,2192,219203,2,1,96,47,6,6,6,6,"2192A01",5,2,283855,424600,"2192A",5,283855,5,270.9622,"Saskatchewan","Ouest","Homme","Non applicable","Non applicable"
158,2193,219303,3,2,96,59,6,6,6,6,"2193A01",4,2,95435,94500,"2193A",6,124285,6,559.3633,"Colombie Britanique","Colombie Britanique","Femme","Non applicable","Non applicable"
166,2197,219702,13,1,1,35,6,6,1,3,"2197A01",4,2,161060,204500,"2197A",4,161060,4,701.4751,"Ontario","Ontario","Homme","Mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
192,2206,220601,12,2,6,24,6,6,1,3,"2206A01",1,2,44245,52500,"2206A",1,44245,1,510.1538,"Qu<U+00E9>bec","Qu<U+00E9>bec","Femme","Jamais mari<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
212,2214,221403,8,2,6,48,2,6,1,2,"2214B01",1,2,36705,43000,"2214B",1,36705,4,2043.8946,"Alberta","Ouest","Femme","Jamais mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
219,2218,221802,10,1,1,46,2,6,1,2,"2218A01",2,3,73480,83000,"2218A",2,73480,2,507.0929,"Manitoba","Ouest","Homme","Mari<U+00E9>","Dipl<U+00F4>me d'<U+00E9>tudes secondaires ou <U+00E9>tudes postsecondaires partielles"
220,2219,221901,8,2,3,35,6,6,1,3,"2219A01",1,2,17145,15500,"2219A",1,17145,1,965.5598,"Ontario","Ontario","Femme","S<U+00E9>par<U+00E9>","Certificat ou dipl<U+00F4>me postsecondaire non universitaire"
241,2225,222502,16,2,1,35,6,6,2,1,"2225A01",2,3,59670,26000,"2225A",2,59670,2,528.1458,"Ontario","Ontario","Femme","Mari<U+00E9>","Moins que le dipl<U+00F4>me d'<U+00E9>tudes secondaires"
276,2243,224302,11,1,2,47,6,6,1,4,"2243A01",5,2,121875,135000,"2243A",5,121875,5,191.5483,"Saskatchewan","Ouest","Homme","Conjoint de fait","Dipl<U+00F4>me ou certificat universitaire"
