year,quarter,location,type,persons
1961,3,Newfoundland and Labrador,in-migration,2189
1961,4,Newfoundland and Labrador,in-migration,1559
1962,1,Newfoundland and Labrador,in-migration,1015
1962,2,Newfoundland and Labrador,in-migration,1015
1962,3,Newfoundland and Labrador,in-migration,2036
1962,4,Newfoundland and Labrador,in-migration,1816
1963,1,Newfoundland and Labrador,in-migration,1075
1963,2,Newfoundland and Labrador,in-migration,1268
1963,3,Newfoundland and Labrador,in-migration,2583
1963,4,Newfoundland and Labrador,in-migration,1691
1964,1,Newfoundland and Labrador,in-migration,1218
1964,2,Newfoundland and Labrador,in-migration,1238
1964,3,Newfoundland and Labrador,in-migration,2202
1964,4,Newfoundland and Labrador,in-migration,1732
1965,1,Newfoundland and Labrador,in-migration,1295
1965,2,Newfoundland and Labrador,in-migration,1342
1965,3,Newfoundland and Labrador,in-migration,2631
1965,4,Newfoundland and Labrador,in-migration,2207
1966,1,Newfoundland and Labrador,in-migration,1467
1966,2,Newfoundland and Labrador,in-migration,1420
1966,3,Newfoundland and Labrador,in-migration,2939
1966,4,Newfoundland and Labrador,in-migration,2342
1967,1,Newfoundland and Labrador,in-migration,1624
1967,2,Newfoundland and Labrador,in-migration,1590
1967,3,Newfoundland and Labrador,in-migration,3022
1967,4,Newfoundland and Labrador,in-migration,2740
1968,1,Newfoundland and Labrador,in-migration,1910
1968,2,Newfoundland and Labrador,in-migration,1776
1968,3,Newfoundland and Labrador,in-migration,2325
1968,4,Newfoundland and Labrador,in-migration,3136
1969,1,Newfoundland and Labrador,in-migration,1916
1969,2,Newfoundland and Labrador,in-migration,1374
1969,3,Newfoundland and Labrador,in-migration,2119
1969,4,Newfoundland and Labrador,in-migration,2234
1970,1,Newfoundland and Labrador,in-migration,1674
1970,2,Newfoundland and Labrador,in-migration,1741
1970,3,Newfoundland and Labrador,in-migration,1924
1970,4,Newfoundland and Labrador,in-migration,3178
1971,1,Newfoundland and Labrador,in-migration,2250
1971,2,Newfoundland and Labrador,in-migration,1904
1971,3,Newfoundland and Labrador,in-migration,4377
1971,4,Newfoundland and Labrador,in-migration,3828
1972,1,Newfoundland and Labrador,in-migration,2243
1972,2,Newfoundland and Labrador,in-migration,1943
1972,3,Newfoundland and Labrador,in-migration,3785
1972,4,Newfoundland and Labrador,in-migration,3209
1973,1,Newfoundland and Labrador,in-migration,2318
1973,2,Newfoundland and Labrador,in-migration,2510
1973,3,Newfoundland and Labrador,in-migration,3922
1973,4,Newfoundland and Labrador,in-migration,4261
1974,1,Newfoundland and Labrador,in-migration,2345
1974,2,Newfoundland and Labrador,in-migration,2605
1974,3,Newfoundland and Labrador,in-migration,3823
1974,4,Newfoundland and Labrador,in-migration,3605
1975,1,Newfoundland and Labrador,in-migration,2476
1975,2,Newfoundland and Labrador,in-migration,2429
1975,3,Newfoundland and Labrador,in-migration,4185
1975,4,Newfoundland and Labrador,in-migration,3259
1976,1,Newfoundland and Labrador,in-migration,2124
1976,2,Newfoundland and Labrador,in-migration,2131
1976,3,Newfoundland and Labrador,in-migration,3570
1976,4,Newfoundland and Labrador,in-migration,1552
1977,1,Newfoundland and Labrador,in-migration,1411
1977,2,Newfoundland and Labrador,in-migration,1771
