"country1","country2","year","exports"
"United States of America","Haiti",1900,NA
"United States of America","Dominican Republic",1900,NA
"United States of America","Mexico",1900,17.08
"United States of America","Guatemala",1900,NA
"United States of America","Honduras",1900,NA
"United States of America","El Salvador",1900,NA
"United States of America","Nicaragua",1900,NA
"United States of America","Colombia",1900,3.09
"United States of America","Venezuela",1900,3.22
"United States of America","Ecuador",1900,1.63
"United States of America","Peru",1900,1.44
"United States of America","Brazil",1900,11.57
"United States of America","Bolivia",1900,0.33
"United States of America","Paraguay",1900,NA
"United States of America","Chile",1900,5.28
"United States of America","Argentina",1900,11.28
"United States of America","Uruguay",1900,2.2
"United States of America","United Kingdom",1900,668.86
"United States of America","Netherlands",1900,83.84
"United States of America","Belgium",1900,50
"United States of America","France",1900,76.43
"United States of America","Switzerland",1900,0.25
"United States of America","Spain",1900,15.45
"United States of America","Portugal",1900,6.83
"United States of America","Germany",1900,188.35
"United States of America","Austria-Hungary",1900,6.96
"United States of America","Italy",1900,34.27
"United States of America","Yugoslavia",1900,NA
"United States of America","Greece",1900,0.69
"United States of America","Romania",1900,0.17
"United States of America","Russia",1900,8.03
"United States of America","Sweden",1900,11.83
"United States of America","Denmark",1900,20.14
"United States of America","Ethiopia",1900,NA
"United States of America","Morocco",1900,NA
"United States of America","Iran",1900,NA
"United States of America","Turkey",1900,0.19
"United States of America","China",1900,10.28
"United States of America","Korea",1900,NA
"United States of America","Japan",1900,9
"United States of America","Thailand",1900,NA
"Haiti","United States of America",1900,NA
"Haiti","Dominican Republic",1900,NA
"Haiti","Mexico",1900,NA
"Haiti","Guatemala",1900,NA
"Haiti","Honduras",1900,NA
"Haiti","El Salvador",1900,NA
"Haiti","Nicaragua",1900,NA
"Haiti","Colombia",1900,NA
"Haiti","Venezuela",1900,NA
"Haiti","Ecuador",1900,NA
"Haiti","Peru",1900,NA
"Haiti","Brazil",1900,NA
"Haiti","Bolivia",1900,NA
"Haiti","Paraguay",1900,NA
"Haiti","Chile",1900,NA
"Haiti","Argentina",1900,NA
"Haiti","Uruguay",1900,NA
"Haiti","United Kingdom",1900,0.27
"Haiti","Netherlands",1900,NA
"Haiti","Belgium",1900,NA
"Haiti","France",1900,NA
"Haiti","Switzerland",1900,NA
"Haiti","Spain",1900,NA
"Haiti","Portugal",1900,NA
"Haiti","Germany",1900,NA
"Haiti","Austria-Hungary",1900,NA
"Haiti","Italy",1900,NA
"Haiti","Yugoslavia",1900,NA
"Haiti","Greece",1900,NA
"Haiti","Romania",1900,NA
"Haiti","Russia",1900,NA
"Haiti","Sweden",1900,NA
"Haiti","Denmark",1900,NA
"Haiti","Ethiopia",1900,NA
"Haiti","Morocco",1900,NA
"Haiti","Iran",1900,NA
"Haiti","Turkey",1900,NA
"Haiti","China",1900,NA
"Haiti","Korea",1900,NA
"Haiti","Japan",1900,NA
"Haiti","Thailand",1900,NA
"Dominican Republic","United States of America",1900,NA
"Dominican Republic","Haiti",1900,NA
"Dominican Republic","Mexico",1900,NA
"Dominican Republic","Guatemala",1900,NA
"Dominican Republic","Honduras",1900,NA
"Dominican Republic","El Salvador",1900,NA
"Dominican Republic","Nicaragua",1900,NA
"Dominican Republic","Colombia",1900,NA
"Dominican Republic","Venezuela",1900,NA
"Dominican Republic","Ecuador",1900,NA
"Dominican Republic","Peru",1900,NA
"Dominican Republic","Brazil",1900,NA
"Dominican Republic","Bolivia",1900,NA
"Dominican Republic","Paraguay",1900,NA
"Dominican Republic","Chile",1900,NA
"Dominican Republic","Argentina",1900,NA
"Dominican Republic","Uruguay",1900,NA
"Dominican Republic","United Kingdom",1900,0.27
"Dominican Republic","Netherlands",1900,NA
"Dominican Republic","Belgium",1900,NA
"Dominican Republic","France",1900,NA
"Dominican Republic","Switzerland",1900,NA
"Dominican Republic","Spain",1900,NA
"Dominican Republic","Portugal",1900,NA
"Dominican Republic","Germany",1900,NA
"Dominican Republic","Austria-Hungary",1900,NA
"Dominican Republic","Italy",1900,NA
"Dominican Republic","Yugoslavia",1900,NA
"Dominican Republic","Greece",1900,NA
"Dominican Republic","Romania",1900,NA
"Dominican Republic","Russia",1900,NA
"Dominican Republic","Sweden",1900,NA
"Dominican Republic","Denmark",1900,NA
"Dominican Republic","Ethiopia",1900,NA
"Dominican Republic","Morocco",1900,NA
"Dominican Republic","Iran",1900,NA
